01/00001,Hey what are you doing?,,,,,,,
01/00002,Jesus. Did you get a good look?,,,,,,,
01/00003,Blue Toyota Camry thats all I saw.,,,,,,,
01/00004,Its the Wartons dog.  Oh man.,,,,,,,
01/00005,Its not gonna make it.,,,,,,,
01/00006,Go see if theyre home.,,,,,,,
01/00007,Its okay.,,,,,,,
01/00008,There are two kinds of pain.,,,,,,,
01/00009,The sort of pain that makes you strong,,,,,,,
01/00010,or useless pain  the sort of pain thats only suffering.,,,,,,,
01/00011,I have no patience for useless things.,,,,,,,
01/00012,Moments like this require someone  who will act.,,,,,,,
01/00013,Who will do the unpleasant thing,,,,,,,
01/00014,the necessary thing.,,,,,,,
01/00015,There.,,,,,,,
01/00016,o more pain.,,,,,,,
01/00017,It was a hit and run. Im awfully sorry.,,,,,,,
01/00018,He mustve jumped over the fence again.,,,,,,,
01/00019,Look Steve is gonna file a report on the car.  Hell put his people on it.,,,,,,,
01/00020,Well track them down.,,,,,,,
01/00021,Stunning.,,,,,,,
01/00022,Shall we?,,,,,,,
01/00023,...three two one.,,,,,,,
01/00024,Happy New Year!,,,,,,,
01/00025,Presidentelect Garrett Walker.,,,,,,,
01/00026,Do I like him? No.,,,,,,,
01/00027,Do I believe in him? Thats beside the point.,,,,,,,
01/00028,Any politician that gets  million votes,,,,,,,
01/00029,has tapped into something larger  than himself,,,,,,,
01/00030,Iarger than even me  as much as I hate to admit it.,,,,,,,
01/00031,Look at that winning smile  those trusting eyes.,,,,,,,
01/00032,I latched onto him early on  and made myselfvital.,,,,,,,
01/00033,After  years in Congress  I can smell which way the wind is blowing.,,,,,,,
01/00034,Jim Matthews  his Right Honorable Vice President.,,,,,,,
01/00035,Former governor of Pennsylvania.,,,,,,,
01/00036,He did his duty in delivering  the Keystone State bless his heart.,,,,,,,
01/00037,ow theyre about to put him out to pasture.,,,,,,,
01/00038,But he looks happy enough doesnt he?,,,,,,,
01/00039,For some its simply the size of the chair.,,,,,,,
01/00040,Linda Vasquez Walkers chief of staff.  I got her hired.,,,,,,,
01/00041,Shes a woman check. And a Latina check.  But more important than that,,,,,,,
01/00042,shes as tough as a twodollar steak.  Check check check.,,,,,,,
01/00043,When it comes to the White House you not  only need the keys in your backpocket,,,,,,,
01/00044,you need the gatekeeper.,,,,,,,
01/00045,As for me  Im just the lowly House Majority Whip.,,,,,,,
01/00046,I keep things moving in a Congress  choked by pettiness and lassitude.,,,,,,,
01/00047,My job is to clear the pipes  and keep the sludge moving.,,,,,,,
01/00048,But I wont have to be a plumber  much longer.,,,,,,,
01/00049,Ive done my time. Ive backed the right man.,,,,,,,
01/00050,Give and take.,,,,,,,
01/00051,Welcome to Washington.,,,,,,,
01/00052,You need a haircut.,,,,,,,
